l1 0.093501, l2 0.119783, l3 0.0940253
2.64 , 37.2946 , -113.262 , 34.2065
2.64 , 37.2365 , -113.348 , 34.2325
2.65 , 37.2946 , -113.238 , 34.2065
2.65 , 37.2365 , -113.348 , 34.2325
2.66 , 37.2946 , -113.262 , 34.2065
2.66 , 37.2365 , -113.348 , 34.2325
2.67 , 37.2946 , -113.309 , 34.1828
2.67 , 37.2365 , -113.348 , 34.2325
2.68 , 37.2946 , -113.238 , 34.1828
2.68 , 37.2365 , -113.348 , 34.2325
2.69 , 37.2946 , -113.238 , 34.2065
2.69 , 37.2365 , -113.348 , 34.2325
2.7 , 37.2709 , -113.19 , 34.1828
2.7 , 37.2365 , -113.348 , 34.2325
2.71 , 37.2946 , -113.285 , 34.2303
2.71 , 37.2365 , -113.348 , 34.2325
2.72 , 37.2946 , -113.262 , 34.2065
2.72 , 37.2365 , -113.348 , 34.2325
2.73 , 37.2946 , -113.238 , 34.2065
2.73 , 37.2365 , -113.348 , 34.2325
2.74 , 37.2946 , -113.262 , 34.2065
2.74 , 37.2365 , -113.348 , 34.2325
2.75 , 37.2946 , -113.262 , 34.2065
2.75 , 37.2365 , -113.348 , 34.2325
2.76 , 37.2946 , -113.238 , 34.2065
2.76 , 37.2365 , -113.348 , 34.2325
2.77 , 37.2946 , -113.19 , 34.2065
2.77 , 37.2365 , -113.348 , 34.2325
2.78 , 37.2946 , -113.262 , 34.2065
2.78 , 37.2365 , -113.348 , 34.2325
2.79 , 37.2946 , -113.262 , 34.2065
2.79 , 37.2365 , -113.348 , 34.2325
2.8 , 37.2946 , -113.262 , 34.2065
2.8 , 37.2365 , -113.348 , 34.2325
2.81 , 37.2946 , -113.262 , 34.2065
2.81 , 37.2365 , -113.348 , 34.2325
2.82 , 37.2946 , -113.262 , 34.2303
2.82 , 37.2365 , -113.348 , 34.2325
2.83 , 37.2946 , -113.262 , 34.254
2.83 , 37.2365 , -113.348 , 34.2325
2.84 , 37.2946 , -113.262 , 34.2065
2.84 , 37.2365 , -113.348 , 34.2325
2.85 , 37.2946 , -113.262 , 34.2065
2.85 , 37.2365 , -113.348 , 34.2325
2.86 , 37.2946 , -113.262 , 34.3016
2.86 , 37.2365 , -113.348 , 34.2325
2.87 , 37.2946 , -113.238 , 34.1828
2.87 , 37.2365 , -113.348 , 34.2325
2.88 , 37.2946 , -113.238 , 34.254
2.88 , 37.2365 , -113.348 , 34.2325
