0, -nan, -nan, -nan, -nan
12.15, 1, 1, -1.14536, 0.145753
12.175, 1, 1, -1.14538, 0.145707
12.2, 1, 1, -1.14495, 0.145291
12.225, 1, 1, -1.14495, 0.145291
12.25, 1, 1, -1.1453, 0.145682
12.275, 1, 1, -1.1453, 0.145682
12.3, 1, 1, -1.14618, 0.146604
12.325, 1, 1, -1.14561, 0.146071
12.35, 1, 1, -1.14561, 0.146071
12.375, 1, 1, -1.14634, 0.146835
12.4, 1, 1, -1.14634, 0.146835
12.425, 1, 1, -1.14892, 0.149472
12.45, 1, 1, -1.14892, 0.149472
12.475, 1, 1, -1.14892, 0.149472
12.5, 1, 1, -1.14828, 0.148826
12.525, 1, 1, -1.14828, 0.148826
12.55, 1, 1, -1.14915, 0.149723
12.575, 1, 1, -1.14915, 0.149723
12.6, 1, 1, -1.14915, 0.149723
12.625, 1, 1, -1.15711, 0.157773
12.65, 1, 1, -1.15711, 0.157773
12.675, 1, 1, -1.15711, 0.157773
12.7, 1, 1, -1.15711, 0.157773
12.725, 1, 1, -1.15711, 0.157773
12.75, 1, 1, -1.15711, 0.157773
12.775, 1, 1, -1.15711, 0.157773
12.8, 1, 1, -1.15711, 0.157773
12.825, 1, 1, -1.15711, 0.157773
12.85, 1, 1, -1.15711, 0.157773
12.875, 1, 1, -1.15711, 0.157773
12.9, 1, 1, -1.15711, 0.157773
12.925, 1, 1, -1.15711, 0.157773
12.95, 1, 1, -1.15711, 0.157773
12.975, 1, 1, -1.15711, 0.157773
13, 1, 1, -1.10151, 0.101992
13.025, 1, 1, -1.10151, 0.101992
13.05, 1, 1, -1.10151, 0.101992
13.075, 1, 1, -1.10161, 0.102141
13.1, 1, 1, -1.10161, 0.102141
13.125, 1, 1, -1.10161, 0.102141
13.15, 1, 1, -1.10161, 0.102141
13.175, 1, 1, -1.10199, 0.102508
13.2, 1, 1, -1.10199, 0.102508
13.225, 1, 1, -1.10199, 0.102508
13.25, 1, 1, -1.10123, 0.101787
13.275, 1, 1, -1.10123, 0.101787
13.3, 1, 1, -1.10123, 0.101787
13.325, 1, 1, -1.10123, 0.101787
13.35, 1, 1, -1.10123, 0.101787
13.375, 1, 1, -1.10178, 0.102316
13.4, 1, 1, -1.10178, 0.102316
13.425, 1, 1, -1.10214, 0.102647
13.45, 1, 1, -1.10176, 0.102231
13.475, 1, 1, -1.10176, 0.102231
13.5, 1, 1, -1.10176, 0.102231
13.525, 1, 1, -1.10153, 0.102002
13.55, 1, 1, -1.10153, 0.102002
13.575, 1, 1, -1.10169, 0.102143
13.6, 1, 1, -1.10169, 0.102143
13.625, 1, 1, -1.10169, 0.102143
13.65, 1, 1, -1.10169, 0.102143
13.675, 1, 1, -1.10169, 0.102143
13.7, 1, 1, -1.10169, 0.102143
13.725, 1, 1, -1.1008, 0.101262
13.75, 1, 1, -1.1008, 0.101262
13.775, 1, 1, -1.1008, 0.101262
13.8, 1, 1, -1.1008, 0.101262
13.825, 1, 1, -1.1008, 0.101262
13.85, 1, 1, -1.1008, 0.101262
13.875, 1, 1, -1.10632, 0.106725
13.9, 1, 1, -1.10632, 0.106725
13.925, 1, 1, -1.10632, 0.106725
13.95, 1, 1, -1.10984, 0.110184
13.975, 1, 1, -1.10984, 0.110184
14, 1, 1, -1.10994, 0.11028
14.025, 1, 1, -1.10994, 0.11028
14.05, 1, 1, -1.10993, 0.110282
14.075, 1, 1, -1.10996, 0.110347
14.1, 1, 1, -1.10996, 0.110347
14.125, 1, 1, -1.10996, 0.110347
14.15, 1, 1, -1.10937, 0.109719
14.175, 1, 1, -1.10937, 0.109719
14.2, 1, 1, -1.10937, 0.109719
14.225, 1, 1, -1.10937, 0.109719
14.25, 1, 1, -1.1099, 0.110206
14.275, 1, 1, -1.1099, 0.110206
14.3, 1, 1, -1.10975, 0.110075
14.325, 1, 1, -1.10975, 0.110075
14.35, 1, 1, -1.10975, 0.110075
14.375, 1, 1, -1.10975, 0.110075
14.4, 1, 1, -1.10975, 0.110075
14.425, 1, 1, -1.10777, 0.108066
14.45, 1, 1, -1.108, 0.10827
14.475, 1, 1, -1.108, 0.10827
14.5, 1, 1, -1.108, 0.10827
14.525, 1, 1, -1.108, 0.10827
14.55, 1, 1, -1.108, 0.10827
14.575, 1, 1, -1.10838, 0.108661
14.6, 1, 1, -1.10838, 0.108661
14.625, 1, 1, -1.10838, 0.108661
14.65, 1, 1, -1.10838, 0.108661
14.675, 1, 1, -1.10876, 0.109056
14.7, 1, 1, -1.10876, 0.109056
14.725, 1, 1, -1.10951, 0.109834
14.75, 1, 1, -1.10967, 0.110046
14.775, 1, 1, -1.10967, 0.110046
14.8, 1, 1, -1.11061, 0.111022
14.825, 1, 1, -1.11061, 0.111022
14.85, 1, 1, -1.11061, 0.111022
14.875, 1, 1, -1.11061, 0.111022
14.9, 1, 1, -1.11061, 0.111022
14.925, 1, 1, -1.11291, 0.113336
14.95, 1, 1, -1.11291, 0.113336
14.975, 1, 1, -1.11291, 0.113336
15, 1, 1, -1.11291, 0.113336
15.025, 1, 1, -1.11695, 0.117421
15.05, 1, 1, -1.11695, 0.117421
15.075, 1, 1, -1.11682, 0.11729
15.1, 1, 1, -1.11682, 0.11729
15.125, 1, 1, -1.11718, 0.117669
15.15, 1, 1, -1.11718, 0.117669
15.175, 1, 1, -1.1207, 0.121283
15.2, 1, 1, -1.12603, 0.126718
15.225, 1, 1, -1.12603, 0.126718
15.25, 1, 1, -1.12603, 0.126718
15.275, 1, 1, -1.12381, 0.124471
15.3, 1, 1, -1.12381, 0.124471
15.325, 1, 1, -1.12381, 0.124471
15.35, 1, 1, -1.12381, 0.124471
15.375, 1, 1, -1.12433, 0.124983
15.4, 1, 1, -1.12433, 0.124983
15.425, 1, 1, -1.12433, 0.124983
