pos1 40.8976, pos2 -146.655, pos3 37.1572
0.52 , 85.0887 , -127.942 , -26.5338
0.52 , 85.3824 , -128.982 , -25.0046
0.53 , 85.1125 , -127.942 , -26.6763
0.53 , 85.3824 , -128.982 , -25.0046
0.54 , 85.1125 , -127.942 , -26.3913
0.54 , 85.3824 , -128.982 , -25.0046
0.55 , 85.0887 , -127.942 , -25.7499
0.55 , 85.3824 , -128.982 , -25.0046
0.56 , 85.0175 , -128.013 , -25.3461
0.56 , 85.3824 , -128.982 , -25.0046
0.57 , 84.875 , -127.966 , -25.2036
0.57 , 85.3824 , -128.982 , -25.0046
0.58 , 84.8274 , -127.989 , -25.2036
0.58 , 85.3824 , -128.982 , -25.0046
0.59 , 84.8274 , -128.013 , -25.1798
0.59 , 85.3824 , -128.982 , -25.0046
0.6 , 84.8512 , -127.966 , -25.2036
0.6 , 85.3824 , -128.982 , -25.0046
0.61 , 84.8512 , -128.013 , -25.0848
0.61 , 85.3824 , -128.982 , -25.0046
0.62 , 84.9225 , -128.013 , -25.1798
0.62 , 85.3824 , -128.982 , -25.0046
0.63 , 85.1363 , -128.013 , -25.061
0.63 , 85.3824 , -128.982 , -25.0046
0.64 , 85.1363 , -128.061 , -25.061
0.64 , 85.3824 , -128.982 , -25.0046
0.65 , 85.1363 , -128.037 , -25.061
0.65 , 85.3824 , -128.982 , -25.0046
0.66 , 85.16 , -128.037 , -25.061
0.66 , 85.3824 , -128.982 , -25.0046
0.67 , 85.1363 , -128.084 , -25.061
0.67 , 85.3824 , -128.982 , -25.0046
0.68 , 85.1363 , -128.037 , -25.0848
0.68 , 85.3824 , -128.982 , -25.0046
0.69 , 84.9937 , -128.037 , -25.061
0.69 , 85.3824 , -128.982 , -25.0046
0.7 , 84.9225 , -128.061 , -25.0848
0.7 , 85.3824 , -128.982 , -25.0046
0.71 , 84.875 , -128.037 , -25.0135
0.71 , 85.3824 , -128.982 , -25.0046
0.72 , 84.8512 , -128.037 , -25.061
0.72 , 85.3824 , -128.982 , -25.0046
0.73 , 84.875 , -128.084 , -25.0373
0.73 , 85.3824 , -128.982 , -25.0046
0.74 , 84.8512 , -128.037 , -25.061
0.74 , 85.3824 , -128.982 , -25.0046
0.75 , 84.9225 , -128.013 , -25.0373
0.75 , 85.3824 , -128.982 , -25.0046
0.76 , 85.1125 , -128.013 , -24.9898
0.76 , 85.3824 , -128.982 , -25.0046
0.77 , 85.0887 , -128.037 , -25.0135
0.77 , 85.3824 , -128.982 , -25.0046
0.78 , 85.1125 , -128.013 , -24.9898
0.78 , 85.3824 , -128.982 , -25.0046
0.79 , 85.1125 , -127.989 , -25.0135
0.79 , 85.3824 , -128.982 , -25.0046
0.8 , 85.1125 , -128.013 , -24.9898
0.8 , 85.3824 , -128.982 , -25.0046
0.81 , 85.0887 , -127.966 , -25.0135
0.81 , 85.3824 , -128.982 , -25.0046
0.82 , 85.0887 , -127.989 , -24.9898
0.82 , 85.3824 , -128.982 , -25.0046
0.83 , 84.97 , -127.966 , -25.0135
0.83 , 85.3824 , -128.982 , -25.0046
0.84 , 84.8987 , -127.942 , -24.966
0.84 , 85.3824 , -128.982 , -25.0046
0.85 , 84.8512 , -127.989 , -25.0135
0.85 , 85.3824 , -128.982 , -25.0046
0.86 , 84.8512 , -127.942 , -24.9898
0.86 , 85.3824 , -128.982 , -25.0046
0.87 , 84.8512 , -127.966 , -25.0135
