l1 0.093501, l2 0.119783, l3 0.0940253
2.7 , 36.2969 , -113.927 , 32.7338
2.7 , 37.2365 , -113.348 , 34.2325
2.71 , 36.3444 , -113.951 , 33.2088
2.71 , 37.2365 , -113.348 , 34.2325
2.72 , 36.3207 , -113.951 , 33.5652
2.72 , 37.2365 , -113.348 , 34.2325
2.73 , 36.3207 , -113.951 , 34.3728
2.73 , 37.2365 , -113.348 , 34.2325
2.74 , 36.3207 , -113.951 , 34.3728
2.74 , 37.2365 , -113.348 , 34.2325
2.75 , 36.3444 , -113.951 , 34.7054
2.75 , 37.2365 , -113.348 , 34.2325
2.76 , 36.3444 , -113.951 , 35.2042
2.76 , 37.2365 , -113.348 , 34.2325
2.77 , 36.2969 , -113.951 , 35.323
2.77 , 37.2365 , -113.348 , 34.2325
2.78 , 36.3207 , -113.951 , 35.3943
2.78 , 37.2365 , -113.348 , 34.2325
2.79 , 36.3207 , -113.951 , 35.418
2.79 , 37.2365 , -113.348 , 34.2325
2.8 , 36.3207 , -113.951 , 35.3943
2.8 , 37.2365 , -113.348 , 34.2325
2.81 , 36.3682 , -113.951 , 35.3705
2.81 , 37.2365 , -113.348 , 34.2325
2.82 , 36.3444 , -113.951 , 35.3943
2.82 , 37.2365 , -113.348 , 34.2325
2.83 , 36.2969 , -113.927 , 35.3943
2.83 , 37.2365 , -113.348 , 34.2325
2.84 , 36.2732 , -113.951 , 35.418
2.84 , 37.2365 , -113.348 , 34.2325
2.85 , 36.3207 , -113.951 , 35.418
2.85 , 37.2365 , -113.348 , 34.2325
