l1 0.093501, l2 0.119783, l3 0.0940253
1.51 , 32.8763 , -110.079 , 32.3537
1.51 , 37.2365 , -113.348 , 34.2325
1.52 , 32.8525 , -110.079 , 32.3537
1.52 , 37.2365 , -113.348 , 34.2325
1.53 , 32.8763 , -110.126 , 32.3537
1.53 , 37.2365 , -113.348 , 34.2325
1.54 , 32.9 , -110.079 , 32.3537
1.54 , 37.2365 , -113.348 , 34.2325
1.55 , 32.8763 , -110.15 , 32.3537
1.55 , 37.2365 , -113.348 , 34.2325
1.56 , 32.9 , -110.126 , 32.3537
1.56 , 37.2365 , -113.348 , 34.2325
1.57 , 32.9238 , -110.15 , 32.3299
1.57 , 37.2365 , -113.348 , 34.2325
1.58 , 32.9713 , -110.15 , 32.3537
1.58 , 37.2365 , -113.348 , 34.2325
1.59 , 32.9 , -110.126 , 32.3299
1.59 , 37.2365 , -113.348 , 34.2325
1.6 , 32.9 , -110.126 , 32.3299
1.6 , 37.2365 , -113.348 , 34.2325
1.61 , 32.9238 , -110.174 , 32.3774
1.61 , 37.2365 , -113.348 , 34.2325
1.62 , 32.9238 , -110.174 , 32.4012
1.62 , 37.2365 , -113.348 , 34.2325
1.63 , 32.9 , -110.15 , 32.3537
1.63 , 37.2365 , -113.348 , 34.2325
1.64 , 32.9 , -110.221 , 32.3537
1.64 , 37.2365 , -113.348 , 34.2325
1.65 , 32.8763 , -110.174 , 32.3299
1.65 , 37.2365 , -113.348 , 34.2325
1.66 , 32.9 , -110.221 , 32.3299
1.66 , 37.2365 , -113.348 , 34.2325
1.67 , 32.9 , -110.197 , 32.3299
1.67 , 37.2365 , -113.348 , 34.2325
1.68 , 32.8763 , -110.221 , 32.3062
1.68 , 37.2365 , -113.348 , 34.2325
1.69 , 32.9 , -110.245 , 32.3537
1.69 , 37.2365 , -113.348 , 34.2325
1.7 , 32.8763 , -110.221 , 32.3774
1.7 , 37.2365 , -113.348 , 34.2325
1.71 , 32.9 , -110.245 , 32.3062
1.71 , 37.2365 , -113.348 , 34.2325
1.72 , 32.9 , -110.245 , 32.3299
1.72 , 37.2365 , -113.348 , 34.2325
1.73 , 32.9 , -110.245 , 32.3537
1.73 , 37.2365 , -113.348 , 34.2325
1.74 , 32.9 , -110.292 , 32.3062
1.74 , 37.2365 , -113.348 , 34.2325
1.75 , 32.9 , -110.269 , 32.3537
1.75 , 37.2365 , -113.348 , 34.2325
1.76 , 32.8763 , -110.316 , 32.3537
1.76 , 37.2365 , -113.348 , 34.2325
1.77 , 32.9 , -110.316 , 32.3537
1.77 , 37.2365 , -113.348 , 34.2325
1.78 , 32.9 , -110.316 , 32.3537
1.78 , 37.2365 , -113.348 , 34.2325
1.79 , 32.9 , -110.316 , 32.3062
1.79 , 37.2365 , -113.348 , 34.2325
1.8 , 32.9238 , -110.34 , 32.3537
1.8 , 37.2365 , -113.348 , 34.2325
1.81 , 32.8763 , -110.364 , 32.3537
1.81 , 37.2365 , -113.348 , 34.2325
1.82 , 32.9 , -110.387 , 32.3774
1.82 , 37.2365 , -113.348 , 34.2325
1.83 , 32.8763 , -110.387 , 32.3299
1.83 , 37.2365 , -113.348 , 34.2325
1.84 , 32.9 , -110.364 , 32.3299
1.84 , 37.2365 , -113.348 , 34.2325
1.85 , 32.9 , -110.411 , 32.3537
1.85 , 37.2365 , -113.348 , 34.2325
1.86 , 32.8763 , -110.411 , 32.3537
1.86 , 37.2365 , -113.348 , 34.2325
1.87 , 32.9 , -110.411 , 32.3537
1.87 , 37.2365 , -113.348 , 34.2325
1.88 , 32.9 , -110.411 , 32.3537
1.88 , 37.2365 , -113.348 , 34.2325
1.89 , 32.8763 , -110.435 , 32.2349
1.89 , 37.2365 , -113.348 , 34.2325
1.9 , 32.9 , -110.435 , 32.3299
1.9 , 37.2365 , -113.348 , 34.2325
1.91 , 32.8763 , -110.459 , 32.3537
1.91 , 37.2365 , -113.348 , 34.2325
1.92 , 32.9 , -110.482 , 32.3062
1.92 , 37.2365 , -113.348 , 34.2325
1.93 , 32.9 , -110.459 , 32.3774
1.93 , 37.2365 , -113.348 , 34.2325
1.94 , 32.8763 , -110.506 , 32.3537
1.94 , 37.2365 , -113.348 , 34.2325
1.95 , 32.9 , -110.506 , 32.3774
1.95 , 37.2365 , -113.348 , 34.2325
